Year,Month,Line,DayType,Riders,Shakeup,Provider,Mode,Days
2021,3,487,DX,741,202012,DO,Bus,23
2022,3,754,DX,11343,202202,DO,Bus,23
2017,3,120,DX,4054,201612,DO,Bus,23
2011,3,202,DX,252,201012,DO,Bus,23
2017,8,166,DX,5657,201706,DO,Bus,23
2019,10,254,DX,837,201906,PT,Bus,23
2018,8,94,DX,4355,201806,DO,Bus,23
2011,3,164,DX,8156,201012,DO,Bus,23
2023,3,720,DX,19198,202212,DO,Bus,23
2017,8,14,DX,17131,201706,DO,Bus,23
2021,3,804,DX,12083,202012,DO,Rail,23
2011,8,460,DX,4683,201106,DO,Bus,23
2022,3,206,DX,6457,202202,DO,Bus,23
2014,10,200,DX,14256,201406,DO,Bus,23
2012,10,485,DX,1827,201206,DO,Bus,23
2020,7,501,DX,378,202006,PT,Bus,23
2011,3,209,DX,1035,201012,DO,Bus,23
2016,8,344,DX,1655,201606,DO,Bus,23
2011,8,205,DX,3317.82608695652,201106,PT,Bus,23
2012,10,130,DX,3587.13043478261,201206,PT,Bus,23
2011,8,207,DX,22945,201106,DO,Bus,23
2021,3,246,DX,1233,202012,DO,Bus,23
2020,7,33,DX,5529,202006,DO,Bus,23
2012,8,260,DX,12440,201206,DO,Bus,23
2011,3,105,DX,12654,201012,DO,Bus,23
2014,10,665,DX,794,201406,DO,Bus,23
2022,8,344,DX,1187,202206,DO,Bus,23
2017,3,96,DX,1401,201612,PT,Bus,23
2017,3,232,DX,5513,201612,PT,Bus,23
2009,7,714,DX,3866,200906,DO,Bus,23
2011,3,720,DX,41166,201012,DO,Bus,23
2018,10,705,DX,5737,201806,DO,Bus,23
2018,8,733,DX,8267,201806,DO,Bus,23
2011,8,154,DX,1003,201106,DO,Bus,23
2012,8,111,DX,18822,201206,DO,Bus,23
2010,3,4,DX,21819,200912,DO,Bus,23
2012,10,220,DX,307,201206,DO,Bus,23
2022,3,130,DX,782,202202,PT,Bus,23
2022,3,177,DX,164,202202,PT,Bus,23
2019,10,460,DX,5332,201906,DO,Bus,23
2020,7,806,DX,18132,202006,DO,Rail,23
2018,10,150,DX,8980,201806,DO,Bus,23
2020,7,209,DX,325,202006,DO,Bus,23
2018,8,127,DX,696,201806,DO,Bus,23
2014,10,14,DX,21198,201406,DO,Bus,23
2019,10,243,DX,1816,201906,DO,Bus,23
2016,8,901,DX,23119,201606,DO,Bus,23
2016,3,175,DX,904,201601,DO,Bus,23
2011,8,169,DX,2570,201106,DO,Bus,23
2011,8,18,DX,24314,201106,DO,Bus,23
2013,10,728,DX,6142,201306,DO,Bus,23
2022,8,92,DX,4045,202206,DO,Bus,23
2017,8,770,DX,6543,201706,DO,Bus,23
2017,8,224,DX,7364,201706,DO,Bus,23
2014,10,292,DX,2727,201406,DO,Bus,23
2017,8,154,DX,911,201706,DO,Bus,23
2012,10,741,DX,3246,201206,DO,Bus,23
2011,3,2,DX,21141,201012,DO,Bus,23
2022,3,204,DX,15701,202202,DO,Bus,23
2012,10,751,DX,5587,201206,DO,Bus,23
2018,8,806,DX,60936,201806,DO,Rail,23
2011,3,605,DX,2704,201012,PT,Bus,23
2013,10,18,DX,24287,201306,DO,Bus,23
2010,3,2,DX,20549,200912,DO,Bus,23
2016,8,111,DX,16206,201606,DO,Bus,23
2023,3,158,DX,1201,202212,DO,Bus,23
2010,3,266,DX,4056.21739130435,200912,PT,Bus,23
2018,8,217,DX,6566,201806,DO,Bus,23
2014,10,176,DX,1925,201406,DO,Bus,23
2016,8,740,DX,2732,201606,DO,Bus,23
2019,10,794,DX,4121,201906,DO,Bus,23
2018,10,460,DX,4739,201806,DO,Bus,23
2009,7,444,DX,2982,200906,DO,Bus,23
2011,3,210,DX,14627,201012,DO,Bus,23
2021,3,165,DX,3579,202012,DO,Bus,23
2017,3,605,DX,2407,201612,PT,Bus,23
2017,8,205,DX,3508,201706,PT,Bus,23
2022,3,154,DX,409,202202,DO,Bus,23
2009,7,753,DX,3149,200906,DO,Bus,23
2017,8,35,DX,8431,201706,DO,Bus,23
2011,8,45,DX,21668,201106,DO,Bus,23
2009,7,204,DX,28801,200906,DO,Bus,23
2017,3,901,DX,25559,201612,DO,Bus,23
2011,8,120,DX,4231,201106,DO,Bus,23
2015,7,740,DX,2861,201506,DO,Bus,23
2023,8,251,DX,13265,202306,DO,Bus,23
2013,10,62,DX,5497,201306,DO,Bus,23
2017,3,487,DX,3658,201612,DO,Bus,23
2019,10,501,DX,1640,201906,PT,Bus,23
2011,3,612,DX,1636,201012,DO,Bus,23
2023,3,210,DX,10852,202212,DO,Bus,23
2017,8,130,DX,2876,201706,PT,Bus,23
2019,10,611,DX,1589,201906,DO,Bus,23
2019,10,209,DX,911,201906,DO,Bus,23
2019,10,234,DX,5845,201906,DO,Bus,23
2023,8,204,DX,19279,202306,DO,Bus,23
2016,3,744,DX,9586,201601,DO,Bus,23
2020,7,14,DX,6160,202006,DO,Bus,23
2016,3,256,DX,1830,201601,PT,Bus,23
2014,10,83,DX,3264,201406,DO,Bus,23
2009,7,20,DX,17569,200906,DO,Bus,23
2014,10,115,DX,17914,201406,DO,Bus,23
2017,8,169,DX,2175,201706,DO,Bus,23
2016,3,760,DX,5180,201601,DO,Bus,23
2019,10,205,DX,3846,201906,PT,Bus,23
2018,8,76,DX,8483,201806,DO,Bus,23
2016,3,156,DX,1540,201601,DO,Bus,23
2018,10,175,DX,925,201806,DO,Bus,23
2012,8,92,DX,5525,201206,DO,Bus,23
2012,8,751,DX,5020,201206,DO,Bus,23
2023,3,236,DX,1600,202212,DO,Bus,23
2011,3,745,DX,7853,201012,DO,Bus,23
2012,8,84,DX,8730,201206,DO,Bus,23
